RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
23,,,Charlestown SC,,19:40,,,,,,,,,
,,,Broadstone (Stop #190),20:15,,,,,,,,,,
,Duty,433,Takes Bus 7 at 21:22 Garage,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Monday to Friday,,,,,BUS 9,23.08.26,,,,
,,,,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep,,,
,,,,,,,,,,,,,,
,Duty,409,Reports at 05:17,,,,,,,,,,,
SPL,,,Departs Garage,,05:25,,Duty,439,Takes up at 16:40 Broadstone,,,,,
23,,,Charlestown SC,,06:00,,,,Broadstone (Stop #190),,16:40,,,
,,,,,,24,,,Merrion Square,,17:20,,,
23,,,Merrion Square,,07:10,,,,,,,,,
,,,,,,SPL,,,Dublin Airport,19:00,,,,
23,,,Charlestown SC,,08:20,,,,Phibsboro Garage,19:40,,,,
,,,Broadstone (Stop #190),09:00,,,Duty,439,Takes Bus 11 at 20:50 at Constitution Hill,,,,,
,Duty,409,Takes Bus 13 at 10:10 at Broadstone,,,,,,,,,,,
,,,,,,,,,,,,,,
,Duty,456,Takes up at 09:00 Broadstone,,,,,,,,,,,
,,,Broadstone (Stop #190),,09:00,,Duty,432,Reports at 20:12,,,,,
23,,,Merrion Square,,09:50,SPL,,,Departs Garage,,20:15,,,
,,,,,,24,,,Merrion Square,,20:40,,,
23,,,Charlestown SC,,11:00,,,,,,,,,
,,,,,,24,,,Dublin Airport,,22:10,,,
23,,,Merrion Square,,12:10,,,,,,,,,
,,,Constitution Hill (Stop #1619),12:45,,SPL,,,Merrion Square,23:30,,,,
,Duty,456,Takes Bus 10 at 13:50 at Broadstone,,,,,,Phibsboro Garage,00:00,,,,
,,,,,,,Finish,Duty,,,,,,
,Duty,453,Takes up at 12:45 Constitution Hill,,,,,,,,,,,
,,,Constitution Hill (Stop #1619),,12:45,,,,,,,,,
23,,,Charlestown SC,,13:20,,,,,,,,,
,,,,,,,,,,,,,,
23,,,Merrion Square,,14:30,,,,,,,,,
,,,,,,,,,,,,,,
23,,,Charlestown SC,,16:00,,,,,,,,,
,,,Broadstone (Stop #190),16:40,,,,,,,,,,
,Finish,Duty,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Monday to Friday,,,,,BUS 10,23.08.26,,,,
,,,,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep,,,
,,,,,,,,,,,,,,
,Duty,410,Reports at 05:17,,,,,,,,,,,
SPL,,,Departs Garage,,05:25,,Duty,426,Takes up at 18:05 Constitution Hill,,,,,
23,,,Merrion Square,,05:50,,,,Constitution Hill (Stop #1619),,18:05,,,
,,,,,,23,,,Charlestown SC,,18:40,,,
23,,,Charlestown SC,,07:00,,,,,,,,,
,,,,,,23,,,Merrion Square,,19:50,,,
24,,,Merrion Square,,08:20,,,,,,,,,
,,,Constitution Hill (Stop #1619),08:50,,23,,,Charlestown SC,,21:00,,,
,Duty,410,Takes Bus 1 at 09:50 at Constitution Hill,,,,,,,,,,,
,,,,,,SPL,,,Merrion Square,22:00,,,,
,Duty,455,Takes up at 08:50 Constitution Hill,,,,,,Phibsboro Garage,22:30,,,,
,,,Constitution Hill (Stop #1619),,08:50,,Finish,Duty,,,,,,
24,,,Dublin Airport,,09:50,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Merrion Square,,11:20,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Dublin Airport,,12:50,,,,,,,,,
,,,Broadstone (Stop #190),13:50,,,,,,,,,,
,Duty,455,Takes Bus 2 at 16:00 at Broadstone,,,,,,,,,,,
,,,,,,,,,,,,,,
,Duty,456,Takes up at 13:50 Broadstone,,,,,,,,,,,
,,,Broadstone (Stop #190),,13:50,,,,,,,,,
24,,,Merrion Square,,14:20,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Dublin Airport,,15:50,,,,,,,,,
,,,,,,,,,,,,,,
23,,,Merrion Square,,17:30,,,,,,,,,
,,,Constitution Hill (Stop #1619),18:05,,,,,,,,,,
,Finish,Duty,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Monday to Friday,,,,,BUS 11,23.08.26,,,,
,,,,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep,,,
,,,,,,,,,,,,,,
,Duty,411,Reports at 05:22,,,,,,,,,,,
SPL,,,Departs Garage,,05:30,,,,,,,,,
24,,,Dublin Airport,,06:10,,,,,,,,,
,,,,,,,,,,,,,,
23,,,Merrion Square,,07:50,,,,,,,,,
,,,,,,,,,,,,,,
23,,,Charlestown SC,,09:00,,,,,,,,,
,,,,,,,,,,,,,,
SPL,,,Merrion Square,10:20,,,,,,,,,,
,,,Phibsboro Garage,10:50,,,,,,,,,,
,Finish,Duty,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Duty,428,Reports at 14:57,,,,,,,,,,,
SPL,,,Departs Garage,,15:00,,,,,,,,,
23,,,Charlestown SC,,15:40,,,,,,,,,
