RUNNING BOARD,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,
,,,,,,,,,,,
24,,,Merrion Square,,18:40,,,,,,
,,,,,,,,,,,
SPL,,,Dublin Airport,20:05,,,,,,,
,,,Phibsboro Garage,20:35,,,,,,,
,Duty,428,Takes Bus 17 at 22:15 at Broadstone,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Saturday,,,,,BUS 9,19.10.2025,
,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep
,,,,,,,,,,,
,Duty,409,Reports at 06:02,,,,,,,,
SPL,,,Departs Garage,,06:10,,Duty,415,Takes up at 17:20 Broadstone,,
24,,,Merrion Square,,06:30,,,,Broadstone (Stop #190),,17:20
,,,,,,24,,,Merrion Square,,18:00
24,,,Dublin Airport,,07:55,,,,,,
,,,,,,24,,,Dublin Airport,,19:20
24,,,Merrion Square,,09:20,,,,,,
,,,Constitution Hill (Stop #1619),09:50,,SPL,,,Merrion Square,20:45,
,Duty,409,Takes Bus 8 at 11:00 at Constitution Hill,,,,,,Phibsboro Garage,21:05,
,,,,,,,Finish,Duty,,,
,Duty,404,Takes up at 09:50 Constitution Hill,,,,,,,,
,,,Constitution Hill (Stop #1619),,09:50,,,,,,
24,,,Dublin Airport,,10:40,,Duty,471,Reports at 02:27,,
,,,,,,SPL,,,Departs Garage,,02:30
23,,,Merrion Square,,12:10,24,,,Dublin Airport,,03:00
,,,Constitution Hill (Stop #1619),12:45,,,,,,,
,Finish,Duty,,,,24,,,Merrion Square,,04:00
,,,,,,,,,,,
,Duty,454,Takes up at 12:45 Constitution Hill,,,SPL,,,Dublin Airport,05:00,
,,,Constitution Hill (Stop #1619),,12:45,,,,Phibsboro Garage,05:30,
23,,,Charlestown SC,,13:30,,Finish,Duty,,,
,,,,,,,,,,,
24,,,Merrion Square,,14:40,,,,,,
,,,,,,,,,,,
24,,,Dublin Airport,,16:20,,,,,,
,,,Broadstone (Stop #190),17:20,,,,,,,
,Finish,Duty,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Saturday,,,,,BUS 10,19.10.2025,
,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep
,,,,,,,,,,,
,Duty,410,Reports at 06:22,,,,,,,,
SPL,,,Departs Garage,,06:30,,Duty,425,Takes up at 19:15 Broadstone,,
23,,,Charlestown SC,,07:00,,,,Broadstone (Stop #190),,19:15
,,,,,,23,,,Merrion Square,,19:45
24,,,Merrion Square,,08:00,,,,,,
,,,,,,23,,,Charlestown SC,,21:00
24,,,Dublin Airport,,09:20,,,,,,
,,,,,,24,,,Merrion Square,,22:00
23,,,Merrion Square,,10:50,,,,,,
,,,Constitution Hill (Stop #1619),11:20,,SPL,,,Dublin Airport,23:20,
,Duty,410,Takes Bus 11 at 12:40 at Broadstone,,,,,,Phibsboro Garage,23:50,
,,,,,,,Finish,Duty,,,
,Duty,405,Takes up at 11:20 Constitution Hill,,,,,,,,
,,,Constitution Hill (Stop #1619),,11:20,,,,,,
23,,,Charlestown SC,,12:10,,Duty,472,Reports at 02:57,,
,,,Broadstone (Stop #190),12:50,,SPL,,,Departs Garage,,03:00
,Finish,Duty,,,,24,,,Dublin Airport,,03:30
,,,,,,,,,,,
,Duty,413,Takes up at 12:50 Broadstone,,,24,,,Merrion Square,,04:30
,,,Broadstone (Stop #190),,12:50,,,,,,
24,,,Merrion Square,,13:20,SPL,,,Dublin Airport,05:30,
,,,,,,,,,Phibsboro Garage,06:00,
24,,,Dublin Airport,,15:00,,Finish,Duty,,,
,,,Broadstone (Stop #190),16:00,,,,,,,
,Finish,Duty,,,,,,,,,
,,,,,,,,,,,
,Duty,429,Takes up at 16:00 Broadstone,,,,,,,,
,,,Broadstone (Stop #190),,16:00,,,,,,
24,,,Merrion Square,,16:40,,,,,,
,,,,,,,,,,,
24,,,Dublin Airport,,18:20,,,,,,
,,,Broadstone (Stop #190),19:15,,,,,,,
,Duty,429,Takes Bus 16 at 20:17 at Phibsboro Garage,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Saturday,,,,,BUS 11,19.10.2025,
,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep
,,,,,,,,,,,
,Duty,412,Reports at 07:57,,,,,,,,
SPL,,,Departs Garage,,08:05,,Duty,421,Takes up at 18:15 Broadstone,,
24,,,Dublin Airport,,08:40,,,,Broadstone (Stop #190),,18:15
,,,,,,23,,,Merrion Square,,18:50
24,,,Merrion Square,,10:00,,,,,,
,,,Constitution Hill (Stop #1619),10:30,,23,,,Charlestown SC,,19:55
,Duty,412,Takes Bus 12 at 11:30 at Broadstone,,,,,,,,
,,,,,,24,,,Merrion Square,,21:00
,Duty,407,Takes up at 11:20 Constitution Hill,,,,,,Constitution Hill (Stop #1619),21:30,
,,,Constitution Hill (Stop #1619),,10:30,,Finish,Duty,,,
24,,,Dublin Airport,,11:40,,,,,,
,,,Broadstone (Stop #190),12:40,,,Duty,473,Takes up at 21:30 Constitution Hill,,
,Finish,Duty,,,,,,,Constitution Hill (Stop #1619),,21:30
,,,,,,24,,,Dublin Airport,,22:25
,Duty,410,Takes up at 12:40 Broadstone,,,,,,,,
,,,Broadstone (Stop #190),,12:40,24,,,Merrion Square,,23:40
23,,,Merrion Square,,13:10,,,,,,
,,,,,,SPL,,,Dublin Airport,01:00,
23,,,Charlestown SC,,14:30,,,,Phibsboro Garage,01:30,
,,,Broadstone (Stop #190),15:10,,,Duty,473,Takes Bus 7 at 03:07 at Phibsboro Garage,,
,Finish,Duty,,,,,,,,,
,,,,,,,,,,,
,Duty,425,Takes up at 15:10 Broadstone,,,,Duty,474,Reports at 03:27,,
,,,Broadstone (Stop #190),,15:10,SPL,,,Departs Garage,,03:30
24,,,Merrion Square,,15:40,24,,,Dublin Airport,,04:00
,,,,,,,,,,,
24,,,Dublin Airport,,17:20,24,,,Merrion Square,,05:00
,,,Broadstone (Stop #190),18:15,,,,,,,
,Duty,425,Takes Bus 10 at 19:15 at Broadstone,,,SPL,,,Dublin Airport,06:00,
,,,,,,,,,Phibsboro Garage,06:30,
,,,,,,,Finish,Duty,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Saturday,,,,,BUS 12,19.10.2025,
,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep
,,,,,,,,,,,
,Duty,413,Reports at 08:17,,,,,,,,
SPL,,,Departs Garage,,08:25,,Duty,422,Takes up at 18:45 Broadstone,,
